Reference, Value, Footprint, Datasheet, Model, Part Number, C
R31,41K,Resistors_SMD:R_0603,,,,
R47,16K,Resistors_SMD:R_0603,,,,
R48,39K,Resistors_SMD:R_0603,,,,
C40,0.1uF,Resistors_SMD:R_0603,,,,
U16,MCP7952,DigitalLogic:MSOP-10,,,,
C41,8pF,Capacitors_SMD:C_0603,,,,
C42,10pF,Capacitors_SMD:C_0603,,,,
C43,0.1uF,Capacitors_SMD:C_0603,,,,
C44,0.1uF,Capacitors_SMD:C_0603,,,,
R49,3k,Resistors_SMD:R_0603,,,,
BT1,Keystone 1056,DigitalLogic:CoinCell_12.5mm,,,,
X1,CFS-20632768EZBB_32.768kHz,Crystals:Crystal_Round_Vertical_2mm,,,,6pF
R50,1R,Capacitors_SMD:C_0805,,,,
D1,CUS520,H3F,Diodes_SMD:SOD-323,,,
U17,74HCT125D,653,SMD_Packages:SOIC-14_N,,,
U18,SN74AUP1T87_Schmitt_XNOR,TO_SOT_Packages_SMD:SOT-353,,,,
C45,0.1uF,Capacitors_SMD:C_0603,,,,
C46,0.1uF,Capacitors_SMD:C_0603,,,,
